,odid,display_name,od_name,production_year,running_time,sequel,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_office,name_length,source_category.fiction_tale_novel,source_category.music_dance,source_category.original_screenplay,source_category.others,source_category.play_TV_movie_film,source_category.real_factual,source_category.NA,production_companies_size.Big_15,production_companies_size.Extra_small,production_companies_size.Large,production_companies_size.Medium,production_companies_size.NULL,production_companies_size.Others,production_companies_size.Small,Rank.others.x,Rank.act_1000,Rank.act_250,Rank.act_500.x,Rank.act_750,genre.Action,genre.Adventure,genre.Comedy,genre.Concert/Performance,genre.Documentary,genre.Drama,genre.Horror,genre.Musical,genre.Others,genre.Thriller/Suspense,genre.Western,rating.G,rating.NC-17,rating.Not Rated,rating.Open,rating.PG,rating.PG-13,rating.R,Rank.others.y,Rank.dir_100,Rank.dir_20,Rank.dir_200,Rank.dir_500,Rank.dir_900,Rank.others
4786,91100100,Cowards Bend the Knee,Cowards Bend the Knee,2004,NA,0,7030,1,1,2,0,22940,0,31140,21,0,0,0,0,0,0,1,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4787,91110100,Islam: What the West Needs to Know,Islam What the West Needs to Know,2006,NA,0,12184,3,3,3,0,22938,0,29513,34,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4788,91130100,Shadow Glories,Shadow Glories,2001,NA,0,15040,45,45,51,0,22915,0,34125,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4789,91150100,Bang Rajan,Bang Rajan,2004,NA,0,4354,1,4,9,0,22826,0,30980,10,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4790,91160100,"Sex, Politics & Cocktails",Sex Politics and Cocktails,2005,NA,0,6058,2,2,8,0,22770,0,29943,25,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4791,91170100,Incantato,Incantato,2004,NA,0,5701,1,2,10,0,22758,0,30888,9,0,0,1,0,0,0,0,0,1,0,1,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
4792,91180100,All the Queen's Men,All the Queens Men,2002,NA,0,15026,17,17,22,15000000,22723,0,32970,19,0,0,1,0,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,1,0,0,0,0
4793,91200100,Hannah Takes the Stairs,Hannah Takes the Stairs,2007,NA,0,5901,1,2,13,0,22509,0,27575,23,0,0,1,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4794,91210100,Son Frere,Son Frere,2004,NA,0,6802,1,2,5,0,22503,0,30542,9,0,0,0,0,0,0,1,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4795,91230100,Little Fish,Little Fish,2006,NA,0,22453,5,5,5,0,22453,3200000,28890,11,0,0,1,0,0,0,0,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,0,0
4796,91240100,The Good Night,Good Night The,2007,NA,0,12377,2,2,4,15000000,22441,0,27490,14,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4797,91250100,The Last Big Thing,Last Big Thing The,1998,NA,0,0,0,4,16,1000000,22434,0,40287,18,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4798,91260100,Evangerion shin gekijªban: Jo,Evangerion Shin Gekijoban Jo,2007,NA,0,0,0,2,3,0,107797,9034766,121156,29,0,0,0,0,1,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,1
